BGC,SS_NoSpace,Spp,ESuit,Use,Changes
CMXdm_OR,CMXdm_OR/113,Bc,1,D6,
CMXdm_OR,CMXdm_OR/113,Dr,2,D6,
CMXdm_OR,CMXdm_OR/113,Fd,2,D6,
CMXdm_OR,CMXdm_OR/113,Mb,2,D6,
CMXdm_OR,CMXdm_OR/113,Oa,2,D6,
CMXdm_OR,CMXdm_OR/113,Og,2,D6,
CMXwm_OR,CMXwm_OR/101,Bc,2,C4,
CMXwm_OR,CMXwm_OR/101,Dr,5,C4,
CMXwm_OR,CMXwm_OR/101,Fd,1,C4,
CMXwm_OR,CMXwm_OR/101,Mb,3,C4,
CMXwm_OR,CMXwm_OR/101,Ol,2,C4,
CMXwm_OR,CMXwm_OR/101,Ot,1,C4,
CMXwm_OR,CMXwm_OR/101,Ps,2,C4,
CMXwm_OR,CMXwm_OR/101,Pw,3,C4,
CMXwm_OR,CMXwm_OR/101,Qc,3,C4,
CMXwm_OR,CMXwm_OR/101,Ra,3,C4,
CMXwm_OR,CMXwm_OR/101,Yp,5,C4,
CMXwm_OR,CMXwm_OR/103,Fd,1,B2,
CMXwm_OR,CMXwm_OR/103,Oa,3,B2,
CMXwm_OR,CMXwm_OR/103,Ol,3,B2,
CMXwm_OR,CMXwm_OR/103,Ot,2,B2,
CMXwm_OR,CMXwm_OR/103,Oy,1,B2,
CMXwm_OR,CMXwm_OR/103,Ps,2,B2,
CMXwm_OR,CMXwm_OR/103,Py,2,B2,
CMXwm_OR,CMXwm_OR/103,Pz,3,B2,
CMXwm_OR,CMXwm_OR/103,Qg,3,B2,
CMXwm_OR,CMXwm_OR/103,Qc,2,B2,
CMXwm_OR,CMXwm_OR/113,Fd,2,D6,added
CMXwm_OR,CMXwm_OR/113,Bc,2,D6,
CMXwm_OR,CMXwm_OR/113,Bg,3,D6,
CMXwm_OR,CMXwm_OR/113,Dr,2,D6,
CMXwm_OR,CMXwm_OR/113,Hw,3,D6,
CMXwm_OR,CMXwm_OR/113,Mb,2,D6,
CMXwm_OR,CMXwm_OR/113,Ot,2,D6,
CMXwm_OR,CMXwm_OR/113,Yp,1,D6,
CMXxm_CA,CMXxm_CA/101,Bc,3,C4,
CMXxm_CA,CMXxm_CA/101,Fd,1,C4,
CMXxm_CA,CMXxm_CA/101,Oa,2,C4,
CMXxm_CA,CMXxm_CA/101,Ol,3,C4,
CMXxm_CA,CMXxm_CA/101,Ot,3,C4,
CMXxm_CA,CMXxm_CA/101,Ps,1,C4,
CMXxm_CA,CMXxm_CA/101,Py,1,C4,
CMXxm_CA,CMXxm_CA/101,Qb,2,C4,
CMXxm_CA,CMXxm_CA/101,Qc,2,C4,
CMXxm_CA,CMXxm_CA/101,Ra,3,C4,
CMXxm_CA,CMXxm_CA/103,Fd,2,B2,
CMXxm_CA,CMXxm_CA/103,Ol,3,B2,
CMXxm_CA,CMXxm_CA/103,Ps,3,B2,
CMXxm_CA,CMXxm_CA/103,Py,1,B2,
CMXxm_CA,CMXxm_CA/103,Qb,1,B2,
CMXxm_CA,CMXxm_CA/103,Qc,1,B2,
CMXxm_CA,CMXxm_CA/103,Ra,2,B2,
CMXxm_CA,CMXxm_CA/113,Bc,2,D6,
CMXxm_CA,CMXxm_CA/113,Fd,1,D6,
CMXxm_CA,CMXxm_CA/113,Mb,1,D6,
CMXxm_CA,CMXxm_CA/113,Oa,2,D6,
CRFdh_CA,CRFdh_CA/101,Bg,3,C4,
CRFdh_CA,CRFdh_CA/101,Dr,2,C4,
CRFdh_CA,CRFdh_CA/101,Fd,1,C4,
CRFdh_CA,CRFdh_CA/101,Hw,2,C4,
CRFdh_CA,CRFdh_CA/101,Mb,3,C4,
